Label,Label2,Text,Predictions
正面,稍微正面,新聞/標題/須/為/原/新聞/標題/且/從頭/張貼/新聞/網址/請/附上/有效/原文/連結/或/短/網址/新聞/來源/聯合報/記者/張曼蘋/新北/即時/報導/完整/新聞/標題/內/文請/完整/轉載/標題/請/勿/修改/與/刪減/曝藍營/小雞/跟/母雞/連結/很/低/葉元/之/大家/各自/放飛/注意/發文/標題/為/原始/新聞/標題/從頭/張貼/切勿/修改/與/刪減/完整/新聞/內容/請/完整/轉載/原文/請/勿/修改/內文/與/刪減/國民黨/台北市/黨部/日前/與/黨/中央/舉辦/首/場/挺侯/大會/但/國民黨/總統/參選人/侯友宜/的/本命區/新北/卻/尚未/有/相關/動作/新北市/議員/葉元之/表示/目前/小雞/們/對於/侯/的/主軸/都/沒有/方向/大家/很/慌/只/能/各自/放飛/現在/跟/母雞/連結性/很/低/就/連/他/月/被/提名/立委/參選人/至今/侯/沒有/找/過/我/侯辦/也/沒有/我們/要/怎麼/一起/打/選戰/葉元之/今天/中午/上震/傳媒/直播/節目/時/被/問到/目前/侯友宜/選戰/的/兵符/要/交給/誰/處理/他/說/就/旁邊/觀察/而言/地方/派系/要/讓/中央/黨部/去/處理/之前/是/侯辦/自己/處理/但/侯辦/只有/新北/經驗到/其他/縣市/時/別人/都/不/認識/在/選辦/執行長/金溥聰/還/沒/公布/前/都/是/中央/黨部/跟/地方/黨部/在/安排/兵符/要/選辦/跟/黨/二合一/但/北市/黨部/有/辦/挺侯/大會/反觀/新北/就/靜悄/悄侯/沒有/找/過/我/侯辦/也/沒有/葉元之/坦言/先前/發生/黨/中央/或/侯辦/對/某些/小/雞/發言/很/不/爽/的/狀況/是/因為/至今/小/雞/們/都/沒有/方向/大家/只/能/各自/發揮/大家/很/慌/只/能/各自/放飛/現在/跟/母雞/連結性/很/低/跟/地方/黨部/連結性/很/低/我們/被/提名/立委/的/參選人/已/經過/兩/個/月/不/知道/我們/要/怎麼/打/選戰/葉元之/還/說/有/些/人/問/他/怎/還/不/跟/侯友宜/掛/看板/但/我/反問/侯/的/主軸黨/的/主軸/是/什麼/我們/抓/不/到/方向/但/小/雞/們/需要/主軸/不過/最後/被/問到/全代會/是否/會/有/人/提出/換/侯葉元之/則/笑笑/說/不會/國民黨/不會/這樣/附註/心得/想法字/心得/備註/新聞/轉錄/舊聞/及/轉錄/他方/內容/之/文章/每/日/發/文數/總/上限/為/篇/自刪/與/板主/刪除/同樣/計入/額度/國民黨/新北/立委/參選人/葉元之/今天/中午/在/單厚/之/的/網路/節目/中/大吐/苦水/說/他/從/五月/被/提名/選/立委/至今/侯友宜/跟/侯辦/都/沒有/找/過/他/小/雞/跟/母雞/都/沒有/連結/是/要/怎麼/一起/打/選戰,[0.8147218  0.18527815]
負面,非常負面,我/說/啊/這/戲/演/到/這樣/金小刀/變成/掌權人/實際/的/太上皇/擁有/絕對/的/遙控/侯侯/的/能力/侯侯/成/了/跑龍套/的/金小刀/劇本/寫/什麼/侯侯/就/背起來/金/小刀/叫/侯侯/做/什麼/說/什麼/侯侯/不/敢/有/意見/那/侯侯/變成/被/控制/的/機器人/啦,[0.05036291 0.9496371 ]
正面,非常正面,樹/大/便/是/美/之/銘言/引述/之/銘言/網址/名稱/完整/公開/回應/侯友宜/兵役/政策/改口/金溥聰/記者會/說明/現在/是/演/哪/齣/有/沒/有/人/能/講解/一下/是/金小刀/獻策/發現/火/上/澆油/太過/火臉皮/薄/要/出來/扛/還是/侯友宜/自己/放/炮/金/小刀/要/出來/幫忙/扛/當兵/要不要/當/一/年/我們/的/總統/候選人/竟然/會/答錯/年/的/國民黨/跟/年/的/國民黨/哪/個/廢恕/我/直言/這/不/就/去年/林志堅/論文/退選/崩盤/的/開始/再/演/一/遍/當時/也/是/本人/不/說清楚/找/阿鵬/代打/啊/你/侯老三/重大/政策/自己/沒辦法/講/情楚/還要/出/金刀/幫/你/代打/那/你/什麼/時候/要/像/小志/一樣/退選,[0.9479645  0.05203547]
正面,非常正面,唉/有時候/真的/覺得/柯網軍/的/邏輯/有夠/差/的/喊/居住/正義/整/天/嘲笑/中南部人/在/那邊/吹/台北/好棒棒/不/覺得/自己/打/自己/幾/巴掌/柯糞/既然/都/窩居/在/台北/那/就/給/台北/蓋/社宅/啊/其他/地方/有/需要/蓋/比/台北/多/嗎/中南部/房租/多少/不/知道/台北/蓋/的/社宅/缺失/漏水/二三年/無法/解決/還/牽拖/不/蓋/就/沒有/問題/靠/北邊/走/喔/天籠人/柯糞/根本/自打臉/自己/又/不會/搬去/中南部/就算/中南部/蓋/十萬/社宅/天籠人/柯糞/還是/只/住/台北/漏水/地堡/啦,[0.98783374 0.01216626]
負面,非常負面,新聞/標題/須/為/原/新聞/標題/且/從頭/張貼/新聞/網址/請/附上/有效/原文/連結/或/短/網址/新聞/來源/聯合報/完整/新聞/標題疫/後/最/大規模/陸辦/夏令營/台生/參與/完整/新聞/內容/聯合報/特派/記者/廖士鋒/北京/即時/報導/兩岸/疫情/解封/後/大陸/對/台/交流/相當/著重/在/青年/面向/日/晚間/大陸/全/國/台聯/舉辦/的/台胞/千/人/夏令營/在/北京/舉行/了/開幕式/此/次/參與/的/有/來自/台灣所/大專院校/的/位/學生/參與/堪稱/疫情/以來/最/大/規模/大陸/全/國/台聯日/晚間/在/中央/民族/大學/大禮堂/舉辦/開幕式/主辦/單位/指出/本/屆/千/人/夏令營/共有/來自/台灣/多/所/大專院校/近名/在校/大學生/參加/北京/總營/活動/暑假/期間/將/在/全/大陸/個省區/港澳/台/舉辦/分營/活動/參加/總人數/約人/據/了/解/這/是/疫情/後/大陸/全/國/台聯/首次/能夠/邀請/如此/多/台灣/本/地/的/大學生/跨海/到/大陸/參加/夏令營/當中/也/有/一定/比例/的/首來族/及/高三/升/大一/的/學生/此/前年/大陸/全/國/台聯/是/與/阿里巴巴/合辦/台胞/青年/千/人/夏令營/台灣青年/創業/領航/公益/講堂/年年/的/夏令營/主要/則/是/以/在/大陸/的/台灣/青年/台生/為/參與/對象/甫/卸任/福建省/副省長/不久/的/大陸/全/國/台聯/會長/鄭建閩/致詞/時/指出/年/以來/已/有/萬/名/台灣/青年/參與/夏令營/今年/夏令營/有約人/是/全/大陸/今年/最/大/的/兩岸/青年線/下/交流/活動/他/強調/大陸/全/國/台聯/始終/秉持/兩岸/一/家/親/理念/積極/發揮/橋梁/紐帶/作用/尊重/關愛/造福/台灣/同胞/努力/為/台灣/青年/來/大陸/學習/創業/發展/提供/機遇/值得/一/提/的/是/日/晚間/的/開幕式/台灣/政治/人物/的/祝賀/影片/中/除了/勞動黨/主席/吳榮元/中國/統一/聯盟/主席/戚嘉林/之外/還/包含/民眾黨/主席/柯文哲/公開/資料/顯示/大陸/全/國/台聯/成立/於/年/其/主辦/台灣青年/夏令營/始於/年/當時/主要/是/讓/在/大陸/但/具/台籍/身分/的/青年/參與/年/起/增加/邀請/海外/地區/美國/日本/巴西/加拿大/等/地/的/台灣/學生/到/大陸/參加/年定名為/台胞/青年/千/人/夏令營/並/命名為/第一/屆/迄/今/有/逾/萬/人/參加/此外/冬令營/自年/以來/也/已/舉辦/多/屆/加總/起來/有/近位/台胞/青年/參與/附註/心得/想法/柯文哲/果然/重視/年輕人/這/種/中共/官方/主辦/的/學生/交流/夏令營/只有/他/和/一些/統派/小黨/敢/參加/不過/為了/增??/中?/民族/?大复?/共同/努力/的/意?/這/一切/都/是/必要/的/新聞/轉錄/舊聞/及/轉錄/他方/內容/之/文章/每/日/發/文數/總/上限/為/篇/自刪/與/板主/刪除/同樣/計入/額度,[0.00854683 0.9914532 ]
負面,稍微負面,網址/名稱/完整/公開/回應/侯友宜/兵役/政策/改口/金溥聰/記者會/說明/主題/侯友宜/兵役/政策/來賓/金溥聰/黃子哲/附註/心得/想法/總字數/請/補滿/字猴猴/前天/在/趙少康/節目/中/說/要/將/一/年/義務役/改回/四/個/月/昨天/趕快/改口/說/是/要/在/兩岸/和平/穩定/情況/下/才/改回/四/個/月/今天/國民黨/中央/也/切割/說/事/前/不/知道/侯會/說/要/改回/四/個/月/現在/猴猴/的/競辦/執行長/金小刀/正在/親自/召開/記者會/說明/猴猴/的/兵役/政策/問題/繼/陳保母/後/金保母/也/上線/了/新聞/轉錄/舊聞/及/轉錄/他方/內容/之/文章/每/日/發/文數/總/上限/為/篇/自刪/與/板主/刪除/同樣/計入/額度,[0.21928895 0.7807111 ]
中立,中立,一/個/活動/發起人/帶起/人/很/重要/一點/他們/自己/本身/不能/離/訴求/太/遠/這些/人/哪/一/個/不/是/社會/既得利益/者/能/當/老闆/家/裡/地/很多/是/有/受到/社會/剝奪/嗎/還是/這/只是/求官/其中/一/部/各位/想想/你/去/參加/遊行/然後/帶頭/都/是/有錢人/這/是/怎樣/我/真/覺得/要/公平/正義/居住/正義/訴求/要/找/鄧佳華/跟/吃/屎哥/這/種/才/有/說服力/這/年頭/還/在/玩/這/種/假/遊行/不要/再/騙/年輕人/了/尤其/是/社會/底層/那/種/明明/知道/什麼/都/不會/改變/還/一直/給/他/希望/居住/正義/喊/了/年/了/總結/請問/發起人/是/社會/底層/或是/被/剝削/的/人/嗎/看看/他們/再/想想/要/去/參加/的/人/你們/的/身價/真相/很/明白/別/再/去/給/人/操作/不然/你們/發起人/全部/簽/以後/絕不/當官,[0.49382794 0.5061721 ]
正面,非常正面,如題/我/在/水桶/蹲/了/一陣子/發現/一/件/很/明顯/的/事/就/是/綠網軍/開始/學/阿共/手法/互相/反串/破壞/和諧/例如/一些/網軍/都/用/免洗/帳號/說/哪/邊/又/有/誰/被/出征/結果/根本/出征/的/都/是/他們/自己人/出征完/再/大肆/宣傳/是/別人/出征/的/故意/想/影響/對手/支持度/但/我/講句/老實話/一點/屁用/也/沒有/堵藍/都/被/起底/打算/用/什麼/招式/了/現在/也/年/了/誰/會/被/這/種/手法/騙到/就/像/當初/綠共/創造/一/個/帳號/叫/應鳴天/整/天/在/網路/上/反串/當/阿共/講/一些/好笑/的/話/再/配合/媒體/傳播/醜化/別人/結果/最後/被/起底/根本/是/綠共/自己人/後/就/完全/不再/報/這/個/帳號/只/能/說/綠共/都/老/招式/了/大家/心知肚明/好/嗎/綠/共/網軍/再/囂張/遲早/關/在/柵欄/外,[0.9636571  0.03634287]
負面,非常負面,說/她/是/國民黨/的/御用/主持人/不/過分/吧/印象/她/再/連戰/選/總統/時/就是/造勢/現場/首席/主持人/了/印象/她/會/一直/覆誦/參選/者/的/姓名/但是/情感/會/逐漸/的/灌注/在/裡面/每/次/力道/會/越來越/深/有/人/很/懷念/郭素春/的/現場/帶動/氣氛/的/能力/的/嗎/印象/韓國瑜/她/也/還/有/在/主持/但/最近/就/都/沒有/了,[0.02811734 0.9718827 ]
負面,稍微負面,之/銘言/而且/囤房稅/目的/不/是/要/囤/房蟲/繳稅/而是/逼囤/房蟲/釋出/囤房/像/新加坡/囤房稅/敢/囤/把/你/課/到/脫/褲子/你/敢/囤/你/轉嫁/得/出去/該/問/囤房稅/目前/的/囤房稅/太多/漏洞/可/鑽/現在/的/囤房稅/問題/是/天花板/太/低/各/縣市/獨立/算囤/房稅/戶數/囤房稅/不/是/實價/課稅/因為/很多/時候/你們/把/問題/過度/單純化/了/我/還/記得/前/幾/年/一直/有/藍/白粉/吵/實價/登錄/說/沒有/實價/登錄/就/是/打假球/政府/帶頭/炒房/結果/呢/實價/在/年/三讀/這/三/年/的/房價/是/漲/還是/跌囤/房稅/的/問題/我們/以/侯友宜/的/戶/來/看/就算/囤房稅/大幅/調漲/他/的/持有/成本/大幅/增加/他/有/可能/一/戶/一/戶/分拆/便宜/賣給/年輕人/嗎/怎麼/可能/絕對/是/先/漲/房租/再/想/辦法/用/人頭/避稅/真的/漲/不/動/避不了/也/是/整/棟/脫手/換人/經營/你/有/經濟/能力/接手/一/整/棟/嗎/再/說/了/你/沒/事/會/去/買/文化/大學/的/套房/自住/嗎/就/當/你/念/文化/好了/畢業/也/是/搬出來/房子/租/人/吧/那/是/不/是/又/變/房蟲/了/另外/一/個/問題/是/因為/少子化/的/關係/房地產/會/傾向/集中/我/家人/是/沒/留/過/半毛/的/房產/給/我/但/像/黃國昌/夫妻/就算/不/看/畸零菜園/們/光/贈與/繼承/就/得到/八/筆/建物/了/他/每/筆/都/不/是/買/的/你/要/說/他/是/房蟲/嗎/未來/黃國昌/掛掉/你/覺得/他/的/子女/的/房地產/會/增加/還是/減少/他們/都/房蟲/嗎/那/你/覺得/就算/調囤/房稅/黃國昌/就/會/便宜/賣掉/他/的/八/筆/建物/嗎,[0.31026843 0.6897316 ]
負面,非常負面,建商/營造/公司/建築師/事務所/室/內/設計/事務所/房仲木作/泥/作/水電/工程行/代書/地政士/土地/開發/建築/營造業/好/他們/才/會/好/基本/是/站/在/居住/正義仔/的/對頭/這些/人/的/社會/影響力/也/比/居住/正義仔大/但/他們/只/靜靜/的/看/著/居住/正義仔裝/沒/啥/動作/這/是/不/是/代表/居住/正義仔/被/看/沒有,[0.03300685 0.9669932 ]
正面,非常正面,政府/要/補貼/房客/租金/但/房東/不准/漲價/政府/要/蓋/粉/多/國/宅用/市價/一半/賣/不准/漏水/住宅/附近/的/商圈/不能不/熱鬧/要/課徵/閒置稅/之類/這/就/是/綠共/心/中/柯糞/應該/要/追求/的/居住/正義/不然/都/是/狗屁/說真的/我/覺得/投賴/清德/比較/有/機會/做到/柯糞/應該/改投/賴清德,[0.9963265  0.00367343]
正面,非常正面,如/題/郭台銘/傳出/可能/會/獨立/參選/就/被/柯粉/挖出/月/的/臉書文/說/不/守/信用/侯友宜/都/沒/緊張/了/結果/是/柯粉/在/緊張/柯文哲/一邊/跟/侯友宜/爭論/一邊/又/跟/蔣萬安/市府/開戰/然後/服貿/連/提/都/不/敢/提/了/一直/掉票/侯友宜/好不容易/請出/小刀/才/把/餵/藥案/壓住/就算/韓/站台/依然/止不住/黨/內/換侯/的/聲浪/選戰/打到/現在/看/你們/組/人馬/在/表演/就/飽/了/現在/是/賴清德/才/有/金身/吧/接連/幾/個/黑道/性騷/議題/都/拆彈/成功/行程/一/天/一/天/慢慢/走/時間/到/了/就/發表/勝選/感言/有/沒有/這麼/簡單/啊/嘻,[0.9311871  0.06881292]
負面,非常負面,之/銘言/大龍/新城/管委會/主委/希望/這/次/的/記者會/是/能/真正/可以/把/大龍/新城/的/問題/解決/它/問題/不只/一/項/兩/項/三/項/零零總總/列出/一百多/項/都/有/可能/但是/都/沒有/人/可以/幫/我們/監督/這些/缺失/的/改正/計畫/大樓/主委/甚至/還/一度/哽咽/畢竟/拖/了/這麼/久/感覺/有關/單位/都/沒/做/改善/不只/電梯/要/堆/沙包/堵水/大樓/室/內/也/常常/下/小/雨/樓梯間/牆壁/欄杆/都/可以/看到/漏水/的/痕跡/蔣/市府/這樣/做/就/對了/柯文哲/的/社宅/驕傲/不/看/不/知道/一/看/大爆笑/超過/百/項/以上/的/缺失/在/一/個/天天/生活/其中/的/場域/以/柯粉/抨擊/新竹/自由/之/丘地/面積/水/的/觀點/當/柯文哲/引以為傲/的/社宅/從/室/外/電梯/牆壁/都/看到/漏水/痕跡/這/就/是/台北市/大秘寶/柯文哲/任內/的/驗收/紀錄/怎麼/作/的/棒球場/與/靈骨塔/還不是/天天/會/去/的/居住/正義/漏水/你/不要/在意/阿北/務實/開放/以下/推文/中央/社宅/蓋/幾/戶/不/爽/不要/住,[0.06523252 0.9347675 ]
負面,稍微負面,大家/安安乳題/比較/有/印象/的/就/萊豬/欸克/發集/遊惡法/跟/考監院/這些/民進黨/在野/的/時候/通通/反對/結果/現在/萊豬/進來/了/也/沒/廢集/遊惡/法讚/哦/陳橘爽/當/監察院長/還/有/什麼/民進黨/以前/反對/執政/後/就/可以/的,[0.15266046 0.8473395 ]
正面,稍微正面,居住/正義仔/這/套/思想/的/核心/是/社會/上/空房/不/夠/多所以/要/有/房/的/釋出/空房/但/問題/是/回到/老/問題/淡水/竹圍/八里/甚至/基隆/七八堵/都/不少/建案/蓋/了/沒/人/買/根本/不少/空房/沒有/空房/根本/不/是/問題/居住/正義仔/對/整/個/房市/的/根本/是/莫名其妙/亂七八糟/既然/前提/都/錯/了/那/這/個/屯房稅/是/要/幹嘛/引述/之/銘言/引述/之/銘言/而且/囤房稅/目的/不/是/要/囤/房蟲/繳稅/而是/逼囤/房蟲/釋出/囤房/像/新加坡/囤房稅/敢/囤/把/你/課/到/脫/褲子/你/敢/囤/你/轉嫁/得/出去/該/問/囤房稅/目前/的/囤房稅/太多/漏洞/可/鑽/現在/的/囤房稅/問題/是/天花板/太/低/各/縣市/獨立/算囤/房稅/戶數/囤房稅/不/是/實價/課稅/因為/很多/時候/你們/把/問題/過度/單純化/了/我/還/記得/前/幾/年/一直/有/藍/白粉/吵/實價/登錄/說/沒有/實價/登錄/就/是/打假球/政府/帶頭/炒房/結果/呢/實價/在/年/三讀/這/三/年/的/房價/是/漲/還是/跌囤/房稅/的/問題/我們/以/侯友宜/的/戶/來/看/就算/囤房稅/大幅/調漲/他/的/持有/成本/大幅/增加/他/有/可能/一/戶/一/戶/分拆/便宜/賣給/年輕人/嗎/怎麼/可能/絕對/是/先/漲/房租/再/想/辦法/用/人頭/避稅/真的/漲/不/動/避不了/也/是/整/棟/脫手/換人/經營/再/說/了/你/沒/事/會/去/買/文化/大學/的/套房/自住/嗎/就/當/你/念/文化/好了/畢業/也/是/搬出來/房子/租/人/吧/那/是/不/是/又/變/房蟲/了/另外/一/個/問題/是/因為/少子化/的/關係/房地產/會/傾向/集中/我/家人/是/沒/留/過/半毛/的/房產/給/我/但/像/黃國昌/夫妻/就算/不/看/畸零菜園/們/光/贈與/繼承/就/得到/八/筆/建物/了/他/每/筆/都/不/是/買/的/你/要/說/他/是/房蟲/嗎/未來/黃國昌/掛掉/你/覺得/他/的/子女/的/房地產/會/增加/還是/減少/他們/都/房蟲/嗎/那/你/覺得/就算/調囤/房稅/黃國昌/就/會/便宜/賣掉/他/的/八/筆/建物/嗎,[0.82253176 0.17746821]
正面,非常正面,史迪格里茲粉/之/銘言/馬台紐/台星/蔡台美/台/美/是/倡議/好/嗎/誰/跟/你/是/協議/倡議/請問/美國/不/照著/做/有/甚麼/問題/嗎/這/破/玩意/跟/是/有/甚麼/差別/馬/任內/吃/了/美牛/跟/美國/重啟/談判/兩/次/現在/蔡/八/年/都/快/結束/了/才/跟/美國/簽/個/倡議/使/比重啟/談判/好/一些/但/不/是/協議/的/東西/就/不/是/協議/然後/整/天/拿來/說嘴/的/現在/還是/泡影/到底/還/想/騙/多久,[0.9910822  0.00891782]
負面,非常負面,標題/可能/怪怪/的/我/的/意思/是/其他/侯選人/都/有/什麼/到/歲/國家/養兵役/四/個/月/等等/你/覺得/日後/柯文哲/提/的/政見會/有/明確/的/數字/嗎/我/隨便/舉例/比如/任內/全/台/興建/公宅/萬/戶/歲/以上/國家/補助/什麼/歲/以下/補助/什麼/什麼/或是/創造/萬/個/就業/機會/幾/年/內/國家人/均/所得/達/萬/元/以上/或是/最/低/工資/調整為/萬/元/甚至/屯房稅/要/扣趴/等等/所有/這/種/明確/的/有/數字/或/承諾/的/政見/這/個/你/可以/自己/代入/總之/你/覺得/柯文哲/未來/會/有/這/類/的/政見/提出/讓/大家/討論/嗎,[0.02667573 0.9733243 ]
負面,稍微負面,居住/正義/就/是/政黨/拿來/取得/政權/的/工具/而已/所以/才/會/有/這/篇/文/這/篇/文/下面/還/下/了/個/公平/正義,[0.11126675 0.8887332 ]
正面,非常正面,我/實在/很/不/懂/耶/居住/正義/司法/正義/難道/全/台灣/就/找/不/到/另/一/個/比/館長/更/適合/的/人選/了/嗎/館長/這/個/人/藍綠/都/蹭完/改蹭/白/大家/以為/館長/跟/黃國昌/是/麻吉/事實/上/以前/館長/還/在/蹭藍/的/時候/就/罵/過/國昌/只/是/個/亂爆料/然後/爛尾/的/咖/這/種/人/為什麼/死/都/要/手/牽/手/一起/走/是/因為/看/館長/腦子/笨/所以/覺得/好/操弄/嗎/不然/真的/找/不/到/任何/理由,[0.9943305 0.0056695]
